participant,block,signal_band_power_1_30hz,line_power_50hz,line_ratio_50hz_vs_neighbor,line_power_100hz,line_power_150hz,broadband_noise_60_190hz,broadband_vs_signal_ratio,dc_drift_power_0.1_0.5hz,unexplained_narrow_peaks_hz,rms_q1,rms_q2,rms_q3,rms_q4,rms_last_vs_first_ratio
P10,A,4.377242962949164e-12,4.267203588829745e-13,1.5689924472055203,1.3278120328911766e-13,2.1086612049431996e-13,1.1108935678223585e-13,0.02537884182407583,4.116140162402624e-09,0.5;1.0;1.5;2.0,0.011599117399994602,0.012040607154695444,0.011863581627071046,0.0119021784017262,1.0261279364007247
P10,B,3.5266747183176996e-12,3.7384515181021994e-13,1.7226886525424503,1.0671053045400822e-13,1.834801111246486e-13,8.06797194134208e-14,0.022876994862714977,5.934658579447101e-10,0.5;1.0,0.011880610147191396,0.011869739014359745,0.011792866513419487,0.01176139248974213,0.9899653590200963
P10,C,2.801996674318949e-12,3.4042332443488113e-13,2.029959581688648,8.604049763989705e-14,1.8432450942343603e-13,6.632435189895902e-14,0.023670389228809405,3.2722432986787293e-10,0.5;1.0,0.011035021357281306,0.011035281657088242,0.011686911298428327,0.01142108347397774,1.0349851716817653
P11,A,1.0646745739473563e-11,7.491297603762565e-13,1.2614053879624563,4.2182952267713533e-13,3.5885192879247547e-13,3.544056254162902e-13,0.033287695046788454,2.3410293051022394e-09,0.5;1.0;1.5;2.0;2.4;2.9;3.4;3.9;4.4,0.027605716777186432,0.02819554589072448,0.028224201800706398,0.027961969056540845,1.012905018269579
P11,B,3.545148525123332e-12,1.0948353256064518e-12,1.4422244652922673,4.739426756674038e-13,3.475015727115274e-13,4.149303806257638e-13,0.11704174809187404,3.2323837569859085e-10,0.5;1.0;1.5;2.0;2.4;2.9,0.02926832954567926,0.02896219431238624,0.028779210656001225,0.028596401344388768,0.9770424820370492
P11,C,2.968780120476468e-12,6.417462254584311e-13,1.7760684384661998,3.911452251876582e-13,3.66212146198737e-13,2.990672521511055e-13,0.100737420763619,1.1440470867770648e-10,0.5;1.0;1.5;2.0;2.4,0.02785988306697637,0.027650912422700555,0.027394978985896316,0.027123459043760956,0.9735668659683524
P12,A,4.222459455677396e-12,3.6498469644374286e-13,1.5074747016273622,1.7890567252395825e-13,2.65216103540107e-13,1.6615153616471083e-13,0.03934946869443786,5.705654319823529e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4;3.9;4.4;4.9;5.4;5.9;6.3;6.8;7.3;7.8;8.3;8.8;9.3;9.8;10.3;10.7;11.2;11.7;12.2;12.7;13.2,0.0044889138188480586,0.00422486121119823,0.004092439727740773,0.003956611353226811,0.8814184261265576
P12,B,3.541092563019785e-12,2.25573837003821e-13,2.431297872765845,7.737372678626873e-14,1.960576661064973e-13,7.165728002357068e-14,0.020235924011673543,9.126104935992552e-11,0.5;1.0;1.5;2.0;2.4;2.9;3.4;3.9;4.4;4.9;5.4;5.9;6.3;6.8;7.3;7.8;8.3;8.8;9.3;9.8;10.3;10.7;11.2;11.7;12.2;12.7;13.2;13.7;14.2;14.6;15.1;15.6;16.1;16.6;17.1;17.6;18.1;18.6;19.0;19.5;20.0;20.5;21.0;21.5;22.0;22.9,0.0037415340887313607,0.0037520005815969556,0.00372299944513307,0.003703677584175573,0.9898820901646193
P12,C,3.8947728114176955e-12,3.2005462546990253e-13,1.9805465836649243,1.2337903333960873e-13,2.352590161681169e-13,1.1544543972572865e-13,0.029641122939775933,1.8178299620944933e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4;3.9;4.4;4.9;5.4;5.9;6.3;6.8;7.3;7.8;8.3;8.8;9.3;9.8;10.3;10.7;11.2;11.7;12.2;12.7;13.2;13.7;14.2,0.003912527842604512,0.0038786717117141388,0.003825463995169661,0.0037891011936674996,0.9684534771630279
P13,A,2.199728402456384e-12,7.963052470268564e-13,1.1338564127098647,6.827699454683806e-13,5.716622269523193e-13,6.226563908842391e-13,0.28306057701893267,2.7835076901386773e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4;3.9;4.4;4.9;5.4,0.006056393286458473,0.006110860887516371,0.006255882836201939,0.006203169675426675,1.0242349500809964
P13,B,2.044801483135486e-12,4.719945622006841e-13,1.1019365506793632,4.584533592839477e-13,3.8355387971948124e-13,3.4452224635388355e-13,0.16848689185494684,1.65985449647599e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4;3.9;4.4;4.9;5.4;5.9;6.3;6.8;7.3;7.8;8.3;8.8;9.3,0.006175485456734709,0.0061720232520728335,0.006184809746195434,0.006239190439575819,1.0103157854208265
P13,C,2.4702805370793126e-12,5.755561754436053e-13,1.1696973339393426,5.639939161775577e-13,5.922607619312948e-13,4.902938507234414e-13,0.19847699213269543,1.5218252857913298e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4;3.9;4.4;4.9;5.4;5.9;6.3;6.8;7.3;7.8;8.3;8.8;9.3;9.8;10.3;10.7;11.2;11.7,0.006210606643023284,0.006167465292583183,0.00619395300654339,0.00621325802367269,1.0004269117015137
P14,A,1.5713325245370581e-12,3.477400448613752e-13,2.489895419804767,7.675920392545551e-14,7.699890768351375e-14,6.311895890583508e-14,0.04016906537617238,9.420552543143225e-11,0.5;1.0;1.5;2.0;2.4,0.011286146290029407,0.01106064970243479,0.010835991252729502,0.01063996463340773,0.9427455891483051
P14,B,2.151720304005421e-12,3.1522967920596227e-13,1.86628727097792,8.928479774194258e-14,8.459432207909569e-14,7.353826675082724e-14,0.03417649896872561,1.5387223502683466e-10,0.5;1.0;1.5;2.0;2.4,0.012324851323688765,0.012138882627184842,0.011850214916863513,0.011580373301816339,0.9395953750418462
P14,C,3.0326344815654088e-12,2.17947349402733e-13,1.203006171898509,1.0101862799220452e-13,9.040838533571885e-14,7.944473952766699e-14,0.02619660892553678,2.953709404950452e-10,0.5;1.0;1.5;2.0;2.4;2.9,0.012636847413611364,0.012731441245614799,0.012682276253907134,0.012507735089955892,0.9897828691421563
P15,A,5.6684280222732384e-11,3.4558817316211517e-12,1.2084843322443701,1.6521620239844028e-12,8.845439244433525e-13,1.3544682307352028e-12,0.02389495333473448,7.892415449039067e-09,0.5;1.0;1.5;2.0;2.4,0.0128796628483316,0.012858484356560548,0.012919017880746063,0.012887438771350077,1.0006037365348803
P15,B,5.239241061815401e-12,1.6945197845016533e-12,1.4048880175453045,9.639044832571593e-13,5.618476619629782e-13,7.908160577373662e-13,0.15094095660170823,3.6073724836168344e-09,0.5;1.0;1.5;2.0,0.013612664744850265,0.013789317279254728,0.013930682728304807,0.013755182135971019,1.0104694704374226
P15,C,1.0664662244733695e-11,3.125251371227134e-12,1.2818880002206732,1.7017256511604885e-12,8.633822671458245e-13,1.3446519812789722e-12,0.12608481641722627,6.973703455273944e-09,0.5;1.0;1.5;2.0,0.013641894496153044,0.013279526718912967,0.013495810157345798,0.013378307616470943,0.980678132369633
P16,A,2.7051638899877392e-12,2.982889622560497e-13,2.3515293323191946,6.78373207725362e-14,6.962499038865368e-14,5.100884688453633e-14,0.018856102239619768,1.1791894271973465e-10,0.5;1.0;1.5,0.004912462776701258,0.004891453127977249,0.004895208736704245,0.004910018518256162,0.9995024372588249
P16,B,2.9704577523760833e-12,2.549263140592901e-13,1.594892745356171,8.669792547553107e-14,9.279381678531815e-14,6.704698332099906e-14,0.022571263054446022,1.3509086107068677e-10,0.5;1.0;1.5;2.0,0.004779333542029674,0.004732905074193653,0.004734930457978925,0.004693707648326274,0.9820841351727386
P16,C,3.005535017376823e-12,3.573090222397492e-13,1.4683369779251096,1.7276590863780407e-13,1.345847880152057e-13,1.360226103889159e-13,0.045257370019808986,1.3901349279786367e-10,0.5;1.0;1.5;2.0;2.4;2.9,0.00490609702885322,0.004870119627808367,0.004850681812053889,0.0048603773600469045,0.9906810508358408
P17,A,3.028521577943565e-12,7.762525911843274e-13,1.0719111778420027,8.746387004640542e-13,5.409872633482394e-13,6.201938587410432e-13,0.20478436186747231,2.579674086290253e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4;3.9;4.4;4.9;5.4;5.9;6.3;6.8;7.3;7.8;8.3;8.8;9.3;9.8;10.3,0.006318857551877141,0.0060722857657042545,0.005883382127813557,0.005684063643171048,0.8995397659316573
P17,B,2.503910002873727e-12,9.952509189664444e-13,1.0645550358653924,1.144834976348621e-12,7.03241967667991e-13,8.308575745185973e-13,0.3318240566014855,4.871405534034558e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4;9.8;10.3,0.0055584143090942366,0.0054039484617423635,0.005228414179809432,0.005113204858909673,0.9199035146667374
P17,C,3.850937475111514e-12,1.537905897600101e-12,0.9650888447953778,1.8029866886292157e-12,1.2390197567220452e-12,1.4700250095720974e-12,0.3817317261245663,2.0219427475977524e-10,0.5;1.0;1.5;2.0;2.4;2.9,0.007419788375959465,0.007181537711692623,0.0068765281666852245,0.006665362822952523,0.8983224972492041
P18,A,4.530396559080319e-12,6.451291745610179e-13,1.1617732092876636,3.78577955489034e-13,2.71348773451697e-13,2.8812942639472756e-13,0.06359916237734793,1.3736259375810644e-09,0.5;1.0;1.5;2.0,0.019952445632073268,0.01992896177534215,0.019830868522516573,0.019610340886186222,0.9828539943325485
P18,B,1.3020596501223887e-11,9.651561840374287e-13,1.348946165123488,4.195918043154317e-13,2.959059117455938e-13,3.581577480203742e-13,0.0275070153649803,5.0248959470832655e-09,0.5;1.0;1.5;2.0;2.4,0.017400807078887144,0.01855493797065557,0.019420102734366746,0.0195622407867057,1.1242145664864636
P18,C,5.055503375582491e-08,1.0297643543666212e-10,0.6892845962706954,9.438876627360449e-12,1.6794207054850796e-12,4.6529592758639316e-12,9.203750705295141e-05,9.264675936668298e-06,0.5;1.0;1.5,0.2680295778126439,0.3413332576906999,0.3413332576906999,0.3413332576906999,1.2734910097470518
P19,A,4.9724474122013955e-12,2.6148002929541384e-12,1.5459294098004395,5.601042065389033e-13,4.4027617014227314e-13,5.27466315199793e-13,0.10607780665623445,4.5765378823581886e-10,,0.012346622552956826,0.011981404215134816,0.011801651804898422,0.011590442179684898,0.9387540705947284
P19,B,2.0523798234953178e-12,1.0740650974201776e-12,3.1721289936395767,1.1934700021419629e-13,2.1560382344796032e-13,1.0446923570123219e-13,0.050901511750059615,1.46680498099258e-10,0.5,0.013136803263428585,0.013003310851694155,0.012784771528279242,0.012587551754625555,0.9581898656934229
P19,C,2.48382953473729e-12,1.4871738306406421e-12,2.77742947913247,2.7823873660260533e-13,2.806155783333387e-13,2.2603514616509174e-13,0.09100268074113188,1.5454290269747233e-10,0.5,0.013068481862132471,0.013310275098651337,0.013391327938442355,0.013387532712967925,1.024413765439729
P20,A,2.395888488691315e-11,2.2819854436342986e-12,1.2001211145017927,8.449409550499199e-13,4.927169680398562e-13,7.137272248758613e-13,0.029789667935076317,1.3756137233407888e-08,0.5;1.0;1.5,0.02078596981095246,0.021532086195794598,0.02199685126054346,0.02213311502630223,1.0648103132835274
P20,B,1.442930851781588e-12,1.7023647596068758e-13,1.2138888919462087,6.024109472594971e-14,4.2395635858949895e-14,4.958398349829258e-14,0.034363381611163965,3.865513655872954e-10,0.5;1.0,0.008931595041152044,0.008923668845969327,0.008859411594448597,0.008796406486562889,0.9848640076082403
P20,C,9.381651660013776e-13,5.973163029760561e-14,1.7759740502723518,1.5448095551521164e-14,2.4121479680746866e-14,1.172009416387567e-14,0.012492570166326619,2.345020009239196e-11,0.5;1.0;1.5,0.008747834953781482,0.008731396670700935,0.008675281170396608,0.00862978673251463,0.9865054357003131
